BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
06/02/2019 20:34:41,06/02/2019 21:13:59,06/02/2019,A NOITE,RUA RAIMUNDO BARBOSA NOGUEIRA,23,PALMEIRAS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,2373790178928
07/02/2019 11:20:55,07/02/2019 11:36:40,06/02/2019,DE MADRUGADA,AVENIDA RIO BUQUIRA,100,ALTOS DA VILA PAIVA,S.JOSE DOS CAMPOS,SP,-23,1413906750621
07/02/2019 11:29:04,07/02/2019 11:56:41,05/02/2019,A NOITE,RUA CACAPAVA,200,VILA DAS AC�CIAS,S.JOSE DOS CAMPOS,SP,-23,207211452909
07/02/2019 13:28:49,07/02/2019 13:37:12,07/02/2019,PELA MANH�,RUA CIDADE DE LIMA,1,VISTA VERDE,S.JOSE DOS CAMPOS,SP,-23,180922719
07/02/2019 13:52:35,07/02/2019 14:00:27,15/01/2019,PELA MANH�,TRAVESSA IRM�OS BALDACI,10,CENTRO,CACAPAVA,SP,-23,992925824444
07/02/2019 15:19:03,07/02/2019 15:26:12,06/02/2019,PELA MANH�,AVENIDA ANDROMEDA,1000,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2232271113235
07/02/2019 16:28:05,07/02/2019 16:48:22,06/02/2019,PELA MANH�,RUA CIDADE DE WASHINGTON,43,VISTA VERDE,S.JOSE DOS CAMPOS,SP,-23,1754867348378
07/02/2019 16:54:21,07/02/2019 16:56:21,15/01/2019,PELA MANH�,TRAVESSA IRM�OS BALDACI,10,CENTRO,CACAPAVA,SP,-23,992925824444
08/02/2019 14:49:44,08/02/2019 14:56:30,04/02/2019,A TARDE,AVENIDA CIDADE JARDIM,4230,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2470490550072
08/02/2019 20:07:51,08/02/2019 20:26:15,08/02/2019,DE MADRUGADA,RUA CARLOS NUNES DE PAULA,1994,JARDIM COLONIAL,S.JOSE DOS CAMPOS,SP,-23,284133137
09/02/2019 17:22:01,09/02/2019 17:22:02,08/02/2019,A NOITE,AVENIDA DUTRA,143,JARDIM NOVA FL�RIDA,S.JOSE DOS CAMPOS,SP,-23,1789390594963
10/02/2019 20:26:32,10/02/2019 20:26:40,10/02/2019,PELA MANH�,RUA ALBERTO PINTO DE FARIA,287,JARDIM JULIETA,CACAPAVA,SP,-23,985041
11/02/2019 10:14:11,11/02/2019 10:21:20,10/02/2019,PELA MANH�,RUA DOUTOR JOS� DE MOURA RESENDE,1,VERA CRUZ,CACAPAVA,SP,-23,103207953
11/02/2019 10:50:15,11/02/2019 11:09:18,09/02/2019,DE MADRUGADA,AVENIDA NARCISO FERREIRA,730,CAP�O GROSSO I,S.JOSE DOS CAMPOS,SP,-23,1792735129964
11/02/2019 10:46:41,11/02/2019 11:26:41,10/02/2019,A NOITE,RODOVIA EDMIR VIANA DE MOURA,5300,CENTRO,CACAPAVA,SP,-23,1028772884468
11/02/2019 11:32:03,11/02/2019 11:44:52,09/02/2019,A TARDE,AVENIDA OLIVIO GOMES,100,VILA ROSSI,S.JOSE DOS CAMPOS,SP,-23,1713076330253
11/02/2019 11:59:04,11/02/2019 12:20:00,11/02/2019,DE MADRUGADA,RUA GUSTAVO RICO TORO,480,VISTA VERDE,S.JOSE DOS CAMPOS,SP,-23,1753347742582
11/02/2019 13:36:17,11/02/2019 13:36:09,10/02/2019,A NOITE,RUA COMENDADOR REMO CESARONI,238,VILA EMA,S.JOSE DOS CAMPOS,SP,-23,205506
11/02/2019 13:50:56,11/02/2019 14:04:41,09/02/2019,A NOITE,AVENIDA CORONEL MANOEL INOC�NCIO,1140,VILA SANTA ISABEL,CACAPAVA,SP,-23,1107166799999
11/02/2019 14:09:30,11/02/2019 14:22:29,09/02/2019,DE MADRUGADA,AVENIDA DOUTOR ADHEMAR DE BARROS,527,VILA ADYANA,S.JOSE DOS CAMPOS,SP,-23,1961964677967
11/02/2019 14:09:30,11/02/2019 14:22:29,09/02/2019,DE MADRUGADA,AVENIDA DOUTOR ADHEMAR DE BARROS,527,VILA ADYANA,S.JOSE DOS CAMPOS,SP,-23,1961964677967
11/02/2019 14:21:00,11/02/2019 14:39:09,11/02/2019,PELA MANH�,AVENIDA NICANOR REIS,100,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2698158078096
11/02/2019 15:40:19,11/02/2019 16:06:58,10/02/2019,A NOITE,RODOVIA SP 099,8,JARDIM S�O JUDAS TADEU,S.JOSE DOS CAMPOS,SP,-23,2563046779999
11/02/2019 16:48:30,11/02/2019 16:55:33,10/02/2019,PELA MANH�,AVENIDA CORONEL ALC�NTARA,1,CENTRO,CACAPAVA,SP,-23,1008871
11/02/2019 17:05:46,11/02/2019 17:30:57,09/02/2019,DE MADRUGADA,RODOVIA SP 050,0,VILA VENEZIANI,S.JOSE DOS CAMPOS,SP,-23,15142235
11/02/2019 18:50:18,11/02/2019 19:21:43,11/02/2019,A TARDE,RUA NHUMIRIM,0,SANTANA,S.JOSE DOS CAMPOS,SP,-23,1621191409999
12/02/2019 07:09:36,12/02/2019 07:10:13,10/02/2019,A NOITE,RUA VICENTE DONATI NUNES,270,CAMPOS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,213469
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
