BO_INICIADO,BO_EMITIDO,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,
05/03/2019 23:10:59,05/03/2019 23:31:13,A NOITE,05/03/2019 23:10:59,AVENIDA SAO JOSE,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,183230147,
06/03/2019 07:43:56,06/03/2019 08:05:53,A NOITE,06/03/2019 07:43:56,ESTRADA JOEL DE PAULA,3050,CAP�O GROSSO,S.JOSE DOS CAMPOS,SP,-23,1674392753193,
06/03/2019 12:42:13,06/03/2019 12:56:33,A NOITE,06/03/2019 12:42:13,RUA ESPINOSA,0,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,241638769,
06/03/2019 13:23:34,06/03/2019 13:38:19,A NOITE,06/03/2019 13:23:34,RUA RIO TIBAGI,1,JARDIM PARARANGABA,S.JOSE DOS CAMPOS,SP,-23,172286256,
06/03/2019 14:43:50,06/03/2019 14:53:32,A NOITE,06/03/2019 14:43:50,AVENIDA FRANCISCO ALVES MOREIRA,1,VILA PANTALE�O,CACAPAVA,SP,-23,96949357,
06/03/2019 14:43:50,06/03/2019 14:53:32,A NOITE,06/03/2019 14:43:50,AVENIDA FRANCISCO ALVES MOREIRA,1,VILA PANTALE�O,CACAPAVA,SP,-23,96949357,
06/03/2019 15:07:45,06/03/2019 15:30:12,A NOITE,06/03/2019 15:07:45,AVENIDA OLIVIO GOMES,100,VILA ROSSI,S.JOSE DOS CAMPOS,SP,-23,1713076330253,
06/03/2019 15:53:43,06/03/2019 16:10:22,PELA MANHA,06/03/2019 15:53:43,RUA ARGENTINA,190,VISTA VERDE,S.JOSE DOS CAMPOS,SP,-23,180167691,Motorola
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:37:55,06/03/2019 16:48:04,A NOITE,06/03/2019 16:37:55,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
06/03/2019 16:53:03,06/03/2019 16:58:38,A TARDE,06/03/2019 16:53:03,RUA PROFESSOR LUIZ ANTONIO RIBEIRO DE MA,0,JARDIM PARAISO DO SOL,S.JOSE DOS CAMPOS,SP,-23,1827497909999,
06/03/2019 17:12:47,06/03/2019 17:32:24,A NOITE,06/03/2019 17:12:47,RUA RIO TIBAGI,1,JARDIM PARARANGABA,S.JOSE DOS CAMPOS,SP,-23,172286256,
06/03/2019 18:07:12,06/03/2019 18:21:35,A NOITE,06/03/2019 18:07:12,AVENIDA BENEDITO FRIGGI,3280,JARDIM NOVA DETROIT,S.JOSE DOS CAMPOS,SP,-23,1620144459999,Samsung
06/03/2019 20:25:51,06/03/2019 21:02:10,A TARDE,06/03/2019 20:25:51,AVENIDA ELIANE MARIA BARBIERE SOARES,692,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,24937732576,
07/03/2019 05:41:41,07/03/2019 05:42:09,A NOITE,07/03/2019 05:41:41,RUA DAS HORT�NCIAS,165,JARDIM MOTORAMA,S.JOSE DOS CAMPOS,SP,-23,1738893,
07/03/2019 09:27:41,07/03/2019 09:27:40,PELA MANHA,07/03/2019 09:27:41,RUA MAESTRO FRANCISCO GAIA,370,MONTE CASTELO,S.JOSE DOS CAMPOS,SP,-23,1824025049333,
07/03/2019 09:08:56,07/03/2019 09:32:28,DE MADRUGADA,07/03/2019 09:08:56,RUA ADELAIDE OLIVEIRA MARCELINO,1,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,24432744,
07/03/2019 09:34:31,07/03/2019 09:51:43,A NOITE,07/03/2019 09:34:31,RUA DAS HORTENSIAS,165,JARDIM MOTORAMA,S.JOSE DOS CAMPOS,SP,-23,1738309071707,Samsung
07/03/2019 10:37:08,07/03/2019 10:55:56,A TARDE,07/03/2019 10:37:08,RUA REGENTE FEIJ�,148,CENTRO,CACAPAVA,SP,-23,993899439999,
07/03/2019 12:19:22,07/03/2019 12:28:36,A NOITE,07/03/2019 12:19:22,AVENIDA BRASIL,10,VERA CRUZ,CACAPAVA,SP,-23,1010328370769,
07/03/2019 16:50:04,07/03/2019 17:37:32,DE MADRUGADA,07/03/2019 16:50:04,AVENIDA CASSIANO RICARDO,1580,JARDIM ALVORADA,S.JOSE DOS CAMPOS,SP,-23,2276354891034,
07/03/2019 16:50:04,07/03/2019 17:37:32,DE MADRUGADA,07/03/2019 16:50:04,AVENIDA CASSIANO RICARDO,1580,JARDIM ALVORADA,S.JOSE DOS CAMPOS,SP,-23,2276354891034,
07/03/2019 16:50:04,07/03/2019 17:37:32,DE MADRUGADA,07/03/2019 16:50:04,AVENIDA CASSIANO RICARDO,1580,JARDIM ALVORADA,S.JOSE DOS CAMPOS,SP,-23,2276354891034,
07/03/2019 16:50:04,07/03/2019 17:37:32,DE MADRUGADA,07/03/2019 16:50:04,AVENIDA CASSIANO RICARDO,1580,JARDIM ALVORADA,S.JOSE DOS CAMPOS,SP,-23,2276354891034,
07/03/2019 19:00:41,07/03/2019 19:04:13,A NOITE,07/03/2019 19:00:41,RUA MANUEL BARBOSA DE SOUZA,263,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,2476343769655,
07/03/2019 19:00:41,07/03/2019 19:04:13,A NOITE,07/03/2019 19:00:41,RUA MANUEL BARBOSA DE SOUZA,263,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,2476343769655,
08/03/2019 09:42:09,08/03/2019 10:11:08,A TARDE,08/03/2019 09:42:09,RUA ABARE,1,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,2487263089999,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 10:37:13,08/03/2019 10:47:00,A NOITE,08/03/2019 10:37:13,AVENIDA OURO FINO,770,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2420308095507,
08/03/2019 11:28:14,08/03/2019 11:48:40,A NOITE,08/03/2019 11:28:14,RUA RIO TIBAGI,1,JARDIM PARARANGABA,S.JOSE DOS CAMPOS,SP,-23,172286256,
08/03/2019 19:20:24,08/03/2019 19:42:08,A NOITE,08/03/2019 19:20:24,RUA GISELE MARTINS,1,JARDIM TERRAS DO SUL,S.JOSE DOS CAMPOS,SP,-23,245388697,
08/03/2019 23:09:10,09/03/2019 00:02:54,A NOITE,08/03/2019 23:09:10,AVENIDA GENERAL MOTORS,0,VILA TATETUBA,S.JOSE DOS CAMPOS,SP,-23,17938677,
08/03/2019 23:09:10,09/03/2019 00:02:54,A NOITE,08/03/2019 23:09:10,AVENIDA GENERAL MOTORS,0,VILA TATETUBA,S.JOSE DOS CAMPOS,SP,-23,17938677,
09/03/2019 16:29:20,09/03/2019 16:47:39,A TARDE,09/03/2019 16:29:20,PRA�A BAHIA DE SAO SALVADOR,122,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,2554880509999,
09/03/2019 16:29:20,09/03/2019 16:47:39,A TARDE,09/03/2019 16:29:20,PRA�A BAHIA DE SAO SALVADOR,122,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,2554880509999,
09/03/2019 20:00:09,09/03/2019 21:28:34,A TARDE,09/03/2019 20:00:09,RODOVIA SP 050,116,RURAL,MONTEIRO LOBATO,SP,-23,226846049999,
09/03/2019 23:16:44,09/03/2019 23:30:43,A NOITE,09/03/2019 23:16:44,AVENIDA SAO JOSE,100,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1823333112745,
10/03/2019 07:50:11,10/03/2019 08:04:56,DE MADRUGADA,10/03/2019 07:50:11,PRA�A AFONSO PENA,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,184222086,
10/03/2019 06:28:04,10/03/2019 08:11:10,DE MADRUGADA,10/03/2019 06:28:04,RUA SANTO EXPEDITO,1,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2622342939999,
10/03/2019 06:28:04,10/03/2019 08:11:10,DE MADRUGADA,10/03/2019 06:28:04,RUA SANTO EXPEDITO,1,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2622342939999,
