BO_INICIADO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL
98/2019,28/01/2019,PELA MANHA,28/01/2019 12:55:09,ESTRADA MUN. DA GRAMA,101,JARDIM ITAMARATI,S.JOSE DOS CAMPOS,SP,-23,175604426,-45
257/2019,28/01/2019,A TARDE,28/01/2019 16:53:49,ESTRADA JOEL DE PAULA,1,CAP�O GROSSO,S.JOSE DOS CAMPOS,SP,-23,175604426,-45
257/2019,28/01/2019,A TARDE,28/01/2019 16:53:49,ESTRADA JOEL DE PAULA,1,CAP�O GROSSO,S.JOSE DOS CAMPOS,SP,-23,23264067,-45
83/2019,27/01/2019,DE MADRUGADA,28/01/2019 18:16:11,RUA EMILIO MARELO,1,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,2253284981052,-45
235/2019,20/01/2019,DE MADRUGADA,28/01/2019 19:52:44,RUA SCORPIUS,159,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,17605,-45
126297/2019,28/01/2019,A NOITE,29/01/2019 10:53:33,AVENIDA JO�O MARSON,490,VILA INDUSTRIAL,S.JOSE DOS CAMPOS,SP,-23,2318063857184,-45
204/2019,29/01/2019,A TARDE,29/01/2019 15:34:58,RUA TEREZINA,572,PARQUE INDUSTRIAL,CACAPAVA,SP,-23,1006098579999,-45
290/2019,23/01/2019,A NOITE,29/01/2019 17:24:05,RUA DO P�RTO,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,2775062570727,-45
245/2019,29/01/2019,A NOITE,29/01/2019 22:07:29,ESTRADA CAPUAVA,1000,CH�CARAS DAS NA��ES,CACAPAVA,SP,-23,1226938869397,-45
328/2019,29/01/2019,A NOITE,30/01/2019 09:48:09,RUA VEREADOR GERALDO NOGUEIRA DA SILVA,2101,AREA RURAL,S.JOSE DOS CAMPOS,SP,-23,152817338,-45
209/2019,29/01/2019,A NOITE,30/01/2019 09:46:32,,0,,S.JOSE DOS CAMPOS,SP,-23,193450852,Resid�ncia
354/2019,30/01/2019,A NOITE,30/01/2019 22:35:54,RUA AUDEMO VENEZIANI,200,ALTO DA PONTE,S.JOSE DOS CAMPOS,SP,-23,268120425,-45
358/2019,31/01/2019,DE MADRUGADA,31/01/2019 01:12:02,PRA�A NOSSA SENHORA DE FATIMA,50,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,2157462807156,-45
205/2019,30/01/2019,A NOITE,31/01/2019 10:43:11,RUA ANTENOR TEODORO DE AZEVEDO,0,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,158296026,-45
